elig,lwage,vet,yob
0,5.4303999,0,53
0,5.6276999,0,51
1,5.3965001,0,51
1,5.7375002,0,53
0,5.9724002,0,52
1,5.0858002,1,53
1,5.4303999,1,50
0,5.0250001,0,51
0,5.5299001,0,51
1,4.6587,1,52
1,4.9306998,0,51
0,5.1202998,0,50
1,4.8505998,0,51
0,4.4238,1,51
0,5.5303001,1,51
0,5.7800999,0,53
0,6.0256,1,51
1,5.7181001,0,52
0,5.7280998,0,51
0,5.7181001,0,51
0,5.6773,0,51
1,4.7948999,1,52
0,6.1236,0,52
0,5.4303999,0,52
0,5.2073002,0,52
0,5.8534999,0,51
0,5.9148998,0,53
1,5.6668,0,51
0,5.6128001,0,50
1,5.7181001,1,51
1,5.9805002,0,52
0,5.1647,0,53
1,5.2073002,0,52
0,6.0545998,0,51
0,5.9805002,0,52
1,4.4119,0,53
0,5.2873001,1,50
1,4.6742001,0,53
0,5.6876998,0,50
0,5.6128001,0,53
0,5.5556002,0,51
0,6.0950999,1,50
0,6.6343999,0,52
